Daphne Ann Blake
Velma Dace Dinkley
Frederick Herman Jones
Norville Shaggy Rogers
Frederick James Flintstone
Wilma Slaghoople Flintstone
Pebbles Flintstone Rubble
Bernard Barney Rubble
Elizabeth Jean Rubble
Bamm Bamm Rubble
George James Jetson
Jane Penny Jetson
Elroy Daws Jetson
Judy Janet Jetson
Homer Jay Simpson
Marjorie Jacqueline Simpson
Bartholomew JoJo Simpson
Lisa Marie Simpson
Margaret Evelyn Simpson
Winnie The Pooh
Tweety The Bird
Sylvester J. Pussycat
Yogi The Bear
Boo Boo Bear
Woody W. Woodpecker
Thomas Tom Cat
Jerry The Mouse
Rocket J. Squirrel
Bullwinkle J. Moose
Boris Paul Badenov
Natasha June Fatale
Arthur Joseph Curry
Bruce Adam Wayne
Richard John Grayson
Bartholomew Henry Allen
Harold Hal Jordan
J'onn M'yrnn J'onzz
Clark Joseph Kent
Diana Themyscira Prince
Peter Benjamin Parker
Katherine Rebecca Kane
Barbara Oracle Gordon
Mary Elizabeth Kane
Selina Julie Kyle
Anthony Edward Stark
Steve Nomad Rogers
Robert Bruce Banner
